Time Stamp, Oakland
Tue Jan 15 08:38:46 2013,          7
Tue Jan 15 08:39:07 2013,          7
Tue Jan 15 08:39:28 2013,          7
Tue Jan 15 08:39:50 2013,          7
Tue Jan 15 08:40:11 2013,          7
Tue Jan 15 08:40:33 2013,          3
Tue Jan 15 08:40:55 2013,          3
Tue Jan 15 08:41:17 2013,          3
Tue Jan 15 08:41:38 2013,          3
Tue Jan 15 08:42:00 2013,          3
Tue Jan 15 08:42:22 2013,          5
Tue Jan 15 08:42:44 2013,          5
Tue Jan 15 08:43:05 2013,          5
Tue Jan 15 08:43:26 2013,          5
Tue Jan 15 08:43:48 2013,          5
Tue Jan 15 08:44:09 2013,          5
Tue Jan 15 08:44:31 2013,          7
Tue Jan 15 08:44:52 2013,          7
Tue Jan 15 08:45:14 2013,          7
Tue Jan 15 08:45:35 2013,         20
Tue Jan 15 08:45:57 2013,          7
Tue Jan 15 08:46:18 2013,          9
Tue Jan 15 08:46:40 2013,          9
Tue Jan 15 08:47:02 2013,          9
Tue Jan 15 08:47:23 2013,          9
Tue Jan 15 08:47:45 2013,          9
Tue Jan 15 08:48:07 2013,          9
Tue Jan 15 08:48:29 2013,         11
Tue Jan 15 08:48:50 2013,         11
Tue Jan 15 08:49:12 2013,         11
Tue Jan 15 08:49:33 2013,         11
Tue Jan 15 08:49:55 2013,         11
Tue Jan 15 08:50:17 2013,         11
Tue Jan 15 08:50:38 2013,         11
Tue Jan 15 08:51:00 2013,         11
Tue Jan 15 08:51:21 2013,         11
Tue Jan 15 08:51:43 2013,         11
Tue Jan 15 08:52:04 2013,         11
Tue Jan 15 08:52:26 2013,         11
Tue Jan 15 08:52:47 2013,         11
Tue Jan 15 08:53:09 2013,         11
Tue Jan 15 08:53:31 2013,         11
Tue Jan 15 08:53:53 2013,         11
Tue Jan 15 08:54:15 2013,          8
Tue Jan 15 08:54:36 2013,          8
Tue Jan 15 08:54:58 2013,          8
Tue Jan 15 08:55:20 2013,          8
Tue Jan 15 08:55:41 2013,          8
Tue Jan 15 08:56:03 2013,          8
Tue Jan 15 08:56:24 2013,         10
Tue Jan 15 08:56:45 2013,         10
Tue Jan 15 08:57:07 2013,         10
Tue Jan 15 08:57:28 2013,         10
Tue Jan 15 08:57:50 2013,         10
Tue Jan 15 08:58:12 2013,         10
Tue Jan 15 08:58:34 2013,         12
Tue Jan 15 08:58:55 2013,         12
Tue Jan 15 08:59:18 2013,         12
Tue Jan 15 08:59:40 2013,         12
Tue Jan 15 09:00:01 2013,         12
Tue Jan 15 09:00:23 2013,         14
